,Durbin,Hurst Exp,adf_p_value,adf_test,coint,coint-pvalue,crosses,halflife,hedge_ratio_error,hedge_ratio_round,mean,pair,std
2,0.08066018534192304,0.28674826712093937,0.00205812720675939,-3.8968533420178435,-4.111699242804592,0.004944467646222742,41,13.0,0.18027311358781706,2.0,-3.052123024350121,"('DRE', 'AIV')",1.027487314920236
1,0.06243905008448909,0.2488306719446134,0.0010121477725301654,-4.088408223512461,-4.237422391628119,0.0031990284408738045,37,20.0,0.31707056229180686,1.0,-52.098412407769096,"('PSA', 'BXP')",4.809702057997851
0,0.09162806418787171,0.23317895580057707,0.006141073962280729,-3.5806916461769216,-4.029783137082003,0.006509353517825682,34,12.0,0.2947695983159564,2.0,-11.724265749492343,"('PLD', 'MAA')",2.1447397102022308
4,0.131925498409705,0.1965025040584607,0.0007865395096945544,-4.154326844973032,-4.153406312664824,0.004287092160910822,63,11.0,0.03320443930407713,5.0,-0.6038890831054203,"('HST', 'SLG')",2.423846885536475
3,0.16926439321368975,0.14261065109482268,0.0008529598525955039,-4.133250105570961,-4.983694253522581,0.000176389800424946,48,12.0,0.4816086004934732,4.0,-9.388240882328578,"('HST', 'VNO')",2.118217677855665
